actor_name,actor_image,actor_movie,actor_info
Neil Nitin Mukesh,"https://m.media-amazon.com/images/M/MV5BZTlhZjVlNzMtMzlhOC00ZWJlLTg1NzItZTU5NDNmNzFhZWU0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg"," Johnny Gaddaar
","
    He had a normal childhood, like most other children. He graduated from HR College, with a B.Com degree. At his father's insistence, he has been very focused on his career since he was in the 12th standard. He did a 4-month workshop with Kishore Namit Kapoor and also at Anupam Kher's institute, ...                "
Rahul Bose,"https://m.media-amazon.com/images/M/MV5BMjE2MjY2ODY4N15BMl5BanBnXkFtZTgwNDcwMTE0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"," Everybody Says I'm Fine!
","
    Rahul Bose was born on July 27, 1967 in India. He is an actor and writer, known for Everybody Says I'm Fine! (2001), Split Wide Open (1999) and Poorna (2017).                "
Kunal Khemu,"https://m.media-amazon.com/images/M/MV5BMmJiYjIwODctYjZlMy00M2IzLWI2OTItNDRiODZkNzcxNzllXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg"," Go Goa Gone
","
    Kunal Khemu was born on May 25, 1983 in Srinagar, Jammu and Kashmir, India. He is an actor and writer, known for Go Goa Gone (2013), Kalyug (2005) and Blood Money (2012). He has been married to Soha Ali Khan since January 25, 2015.                "
Sanjay Suri,"https://m.media-amazon.com/images/M/MV5BYjJkMWM4OGQtODdhNC00ODcyLTgwM2MtN2E1NzRjZDBjMWVjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UY209_CR87,0,140,209_AL_.jpg"," Melghat Chronicles
","
    Acclaimed Actor-Producer and National Award Winner, Sanjay Suri born and raised in Srinagar (Kashmir), spent the first 20 years of his life in the Valley. Sanjay is credited with 30 features as an Actor and 7 features as a Producer. His filmography as an actor includes acclaimed films like "Firaag"...                "
Ravi Kishan,"https://m.media-amazon.com/images/M/MV5BMjAyMDczNzc4Ml5BMl5BanBnXkFtZTgwNDM4NDczMDE@._V1_UX140_CR0,0,140,209_AL_.jpg"," Raavan
","
    Ravi Kishan was born on July 17, 1971 in Bombay, Maharashtra, India as Ravi Kishan Shukla. He is an actor and producer, known for Raavan (2010), Agent Vinod (2012) and The Brawler (2017).                "
Kunal Kapoor,"https://m.media-amazon.com/images/M/MV5BODU5N2FmZGUtN2E0NS00NjY0LWE1ZTQtMDlkMmM3OGYyY2Y5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg"," Rang De Basanti
","
    Kunal Kapoor was born on October 18, 1975 in New Delhi, India. He is an actor and assistant director, known for Rang De Basanti (2006), Don 2 (2011) and Dear Zindagi (2016).                "
Bobby Deol,"https://m.media-amazon.com/images/M/MV5BODA2ODQ5ODI3Nl5BMl5BanBnXkFtZTgwMDYwMDMzOTE@._V1_UY209_CR18,0,140,209_AL_.jpg"," Barsaat
","
    Bobby Deol (Vijay Singh Deol) is the second son of Bollywood mega-star Dharmendra. His older brother is another Bollywood mega-star, Sunny Deol. Deol began his career as a child artiste in the movie Dharam Veer (1977), playing a young Dharmendra.He has two step-sisters, namely Bollywood actress ...                "
Arbaaz Khan,"https://m.media-amazon.com/images/M/MV5BYTYzMzA2MjMtYTU3Ni00YWEwLWEzMTgtMDIwY2MzMTBlNDRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR0,0,140,209_AL_.jpg"," Dabangg
","
    Arbaaz Khan was born on August 4, 1967 in Bombay, Maharashtra, India. He is an actor and producer, known for Fearless (2010), Fearless 2 (2012) and Daraar (1996). He was previously married to Malaika Arora.                "
Fardeen Khan,"https://m.media-amazon.com/images/M/MV5BNzQwMzg2NzU1MF5BMl5BanBnXkFtZTgwNDIxMjMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"," Prem Aggan
","
    Fardeen Khan was born on March 8, 1972 in Bombay, Maharashtra, India. He is an actor, known for Prem Aggan (1998), No Entry (2005) and Jungle (2000). He has been married to Natasha Madhvani since December 14, 2005.                "
Zayed Khan,"https://m.media-amazon.com/images/M/MV5BMTA4NTg4NDQxMjheQTJeQWpwZ15BbWU4MDY0MzI4Mzkx._V1_UY209_CR87,0,140,209_AL_.jpg"," Main Hoon Na
","
    Zayed Khan's parents are former Bollywood actor Sanjay Khan and interior designer Zarine Khan. Khan is the youngest of four children. His older sisters are Simone Khan (wife of Ajay Arora), Sussanne Roshan (married to actor Hrithik Roshan), and Farah Khan Ali (wife of DJ Aqeel). Khan is related as ...                "
Sanjay Kapoor,"https://m.media-amazon.com/images/M/MV5BMTU0MjI0MjE2Ml5BMl5BanBnXkFtZTgwNTMzMjgzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"," Kal ho naa ho
","
    Sanjay Kapoor was born on October 17, 1965 in Bombay, Maharashtra, India. He is known for his work on Kal ho naa ho (2003), Soch (2002) and Om Shanti Om (2007). He has been married to Maheep Kapoor since 2002. They have two children. He was previously married to Nandita Mahtani.                "
Prateik,"https://m.media-amazon.com/images/M/MV5BNzI4OGIxMzktMDE1OC00MmI2LTk3NjQtMjE4ZDIzNzRiNjNjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg"," Jaane Tu... Ya Jaane Na
","
    Prateik was born on November 28, 1986 in Bombay, Maharashtra, India. He is an actor, known for Jaane Tu... Ya Jaane Na (2008), Mumbai Diaries (2010) and Take a Shot (2011).                "
Harman Baweja,"https://m.media-amazon.com/images/M/MV5BMTUxMTkzMDU4OV5BMl5BanBnXkFtZTgwMjI4NzIxNzE@._V1_UX140_CR0,0,140,209_AL_.jpg"," Love Story 2050
","
    Harman hails from one of India's preeminent film families and cinema has been an integral part of his life since he was a boy.He debuted in Bollywood with "Love Story 2050", for which he was nominated for a Filmfare Award for Best Male Debut.Harman has appeared in several films since then, ...                "
Sohail Khan,"https://m.media-amazon.com/images/M/MV5BYmJjYjc5YWItYjRmZi00ZGFlLTg3YTMtOTZjZDc3YWRkZDg1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg"," Pyaar Kiya To Darna Kya
","
    Sohail Khan was born on December 20, 1969 in Mumbai, Maharashtra, India. He is an actor and producer, known for Why Be Afraid of Love (1998), Let There Be Victory (2014) and Hello Brother (1999).                "
Rajat Barmecha,"https://m.media-amazon.com/images/M/MV5BMjA3NjgyMjIxNV5BMl5BanBnXkFtZTcwMTc3MzY0Mw@@._V1_UY209_CR87,0,140,209_AL_.jpg"," Udaan
","
    Rajat Barmecha is an Indian Film Actor.He was born in Ladnun, Rajasthan, and grew up in Delhi. He did his schooling and higher education from Bal Bharati Public School, Brij Vihar, Delhi. His passion for acting has been since his childhood days. Though his father holds a business background, he ...                "
Shiney Ahuja,"https://m.media-amazon.com/images/M/MV5BNjQ1MzU1ODA0MF5BMl5BanBnXkFtZTgwMzg5MTMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"," Hazaaron Khwaishein Aisi
","
    Shiney Ahuja was born on May 15, 1973 in New Delhi, India. He is an actor, known for Hazaaron Khwaishein Aisi (2003), Gangster (2006) and Fanaa (2006). He is married to Anupam Pandey. They have one child.                "
